,Datetime,Tweet Id,Tweet_url,Text,Username,Reply_count,Retweet_count,Tweet_lang,Source,Like_count
0,2020-03-30 23:59:38+00:00,1244776330203402241,https://twitter.com/theuncouth/status/1244776330203402241,Alex trebek is an American treasure..who just happens to be from Canada 😞,theuncouth,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
1,2020-03-30 23:59:34+00:00,1244776312033722370,https://twitter.com/agfuse/status/1244776312033722370,@cnn still pushing their phony story of New York not having enough ventilators. Here @outfrontcnn is interviewing a doctor to prove their point ... he's from Canada! #fakenews #cnn #cnnfakenews #erinburnett #outfrontcnn #Coronavirustruth #coronavirus https://t.co/3zEJTFEAoM,agfuse,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2,2020-03-30 23:57:52+00:00,1244775883531063298,https://twitter.com/Rebecca15835891/status/1244775883531063298,@AlexHorne I tried to blend in! #hometasking #hometasking4 #taskmaster ( from Jess and Beck from Canada) https://t.co/PVHo5bf6vt,Rebecca15835891,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",14
3,2020-03-30 23:55:09+00:00,1244775203160256512,https://twitter.com/EhRadioCanada/status/1244775203160256512,The Links to the Chinese Virus that most likely actually came from Canada https://t.co/TEAHPrtyij,EhRadioCanada,0,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2
4,2020-03-30 23:52:49+00:00,1244774614162501632,https://twitter.com/AA7YA/status/1244774614162501632,@ReaganBattalion @nedryun @realMikeLindell He moved here from Canada and has been spewing his anti-American BS since 2001.,AA7YA,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
5,2020-03-30 23:50:50+00:00,1244774116017799169,https://twitter.com/oneofthecoopers/status/1244774116017799169,"@ExtraHighMarx @BernieSanders Ever watch letterkenny? Bunch of stand-up guys who happen to be from Canada, no need for a wall there.",oneofthecoopers,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1
6,2020-03-30 23:47:37+00:00,1244773306869268481,https://twitter.com/CarlaBoersTSR/status/1244773306869268481,"@JeffJacksonNC Happy Birthday from Canada, Spidey.... eh Owen! Have a great day! and hopefully an even better cake ❤️❤️❤️",CarlaBoersTSR,0,0,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0
7,2020-03-30 23:45:32+00:00,1244772782275092480,https://twitter.com/chandigarhcity/status/1244772782275092480,"5 more test positive in Chandigarh, count rises to 13. 32-year-old non-resident Indian and his wife from #Canada Canada. Three other contacted  persons #chandigarhfightscorona #chandigarh #COVID2019 #COVID19 #StayHome #StayHomeSaveLives #CoronavirusOutbreak",chandigarhcity,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
8,2020-03-30 23:45:27+00:00,1244772758384304129,https://twitter.com/DonnaLeeThomps8/status/1244772758384304129,"@MillaLadyRCats Welcome! I am a human, now following you from Canada!",DonnaLeeThomps8,1,0,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",3
9,2020-03-30 23:42:56+00:00,1244772129112899584,https://twitter.com/JonzeBobby/status/1244772129112899584,"Alberta should separate from Canada because we’re the unwanted province anyways, the only thing that we’re good for is equalization payments to a French province that thinks English is our second language.",JonzeBobby,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
10,2020-03-30 23:42:54+00:00,1244772119017336834,https://twitter.com/EBMag/status/1244772119017336834,"We continue to share stories of inspiration, hope &amp; determination from Canada’s electrical community in the face of #COVID19. Let’s find out how @opg Ontario Power Generation is “Standing Up To COVID”. https://t.co/OGODRnlxii https://t.co/XFHJrQD1RO",EBMag,0,6,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",10
11,2020-03-30 23:42:27+00:00,1244772007402594304,https://twitter.com/heyitslo25/status/1244772007402594304,@king_tiger12 It's all right. I live in Arizona now and people think that I'm I'm from Canada,heyitslo25,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
12,2020-03-30 23:41:57+00:00,1244771881154162690,https://twitter.com/KyrieDaComic/status/1244771881154162690,Looking through my vault and found stand up from Canada 🇨🇦😕🙁 I miss my Canadian homies,KyrieDaComic,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
13,2020-03-30 23:41:31+00:00,1244771771431170048,https://twitter.com/LillymoGames/status/1244771771431170048,"@mr_chun @notaxation Theres a Dredg song missing from Canada's spotify. I thought if I put it to collaborative someone in the USA might be able to add it for me. It has been switched back now, thanks for the heads up.",LillymoGames,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3
14,2020-03-30 23:41:29+00:00,1244771763998920704,https://twitter.com/JosephDanna21/status/1244771763998920704,@Rosie Rosie you tweeting from Canada?,JosephDanna21,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
15,2020-03-30 23:41:14+00:00,1244771697871458304,https://twitter.com/angry_tha/status/1244771697871458304,@klm_wolfmama @CrownsAndThings I always thought u were from canada.,angry_tha,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
16,2020-03-30 23:41:03+00:00,1244771652476588038,https://twitter.com/BillingsHotmail/status/1244771652476588038,@PlatinumPerry I know you got smoke.. you got smoke for most of the top 5... much love from canada,BillingsHotmail,1,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1
17,2020-03-30 23:40:53+00:00,1244771611997163520,https://twitter.com/AVentura777/status/1244771611997163520,"@sundlisaj @Hope012015 @commondreams I'm rooting for you guys, from Canada. Learned so much this past year, including that the US doesn't have free and fair elections. And now Presiderp Dolt45 admits it! https://t.co/suc1z5tUan",AVentura777,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1
18,2020-03-30 23:39:51+00:00,1244771349379182593,https://twitter.com/Blackculture314/status/1244771349379182593,@Akademiks 21 is from Canada and it ain’t no real shooters up in the snow like that.. they just be rapper about it but not bout it!,Blackculture314,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
19,2020-03-30 23:39:19+00:00,1244771215413325829,https://twitter.com/auntnomore/status/1244771215413325829,"@blueshark121 @GoldGloveSS2 @WilliamYang120 @blueshark121 ... EAST ASIAN isn't only China. But who covers the largest portion? Ohh ....CHINA you say? It doesn't matter. If I lived in Utah and was a  correspondent for the United States....I wouldn't get my information from Canada. I'd get it from these United States
🇺🇸 #USA",auntnomore,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
20,2020-03-30 23:38:41+00:00,1244771056218288129,https://twitter.com/impotentrageyyc/status/1244771056218288129,@RealMattCouch @PaulaPatriot88 @davegiz1 @ryanfisher122 @BrendaH58747592 Me being from Canada doesn't change what the study says 🤦‍♂️,impotentrageyyc,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
21,2020-03-30 23:37:48+00:00,1244770833475801090,https://twitter.com/crowmom99/status/1244770833475801090,so ya aparently ruby gloom was a flash animated kids cartoon from canada thats awsome,crowmom99,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
22,2020-03-30 23:35:55+00:00,1244770362035974149,https://twitter.com/buckingham_ruth/status/1244770362035974149,Terrence you are so funny!! Didn’t they just come from Canada is she one of the people said she would move to Canada if President Trump was President well that didn’t last America is better. 😂😂🤣🤣🤣,buckingham_ruth,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
23,2020-03-30 23:33:45+00:00,1244769817518727169,https://twitter.com/Kotyjo/status/1244769817518727169,Yea it is you crazy fool. Shut off all Saudi oil they shut off grain sales from canada years ago,Kotyjo,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3
24,2020-03-30 23:32:25+00:00,1244769479625773056,https://twitter.com/Wills2cents/status/1244769479625773056,"@joel_capizzi I'm starting to think something else is going on.

1 sample of the virus goes missing during its transport from canada to china.
Us and China war games happening during outbreak.

Maybe it was a test to get us inside and scared, dependent.
EarnItAct. Fienstiens and Graham's bill.",Wills2cents,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
25,2020-03-30 23:30:00+00:00,1244768871304871942,https://twitter.com/SoonerSportsTV/status/1244768871304871942,"A special night tonight on Sooner Sports TV featured 

@KennethMurray's special friendship with Xander
@_CeeDeeThree playing with Baker, Kyler and Jalen
@JalenHurts involvement in the community
@Path2Greatwork journey from Canada

⏰ 8:30 pm
📺 @FOXSportsOK https://t.co/NYbzwJYAiN",SoonerSportsTV,5,25,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",144
26,2020-03-30 23:27:54+00:00,1244768342407184384,https://twitter.com/craigthomler/status/1244768342407184384,"Unprecedented levels of #opendata are being shared in the fight against #COVID19 
Here's an example from Canada...
https://t.co/rnej7OdnQM
CC: @piacandrews",craigthomler,0,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",4
27,2020-03-30 23:26:59+00:00,1244768111166980096,https://twitter.com/SUNtravelgal/status/1244768111166980096,"#Shoutout to @OfficialALW from #Canada's #London #theatre singing out after performance nixed #COVID19 
https://t.co/jt5U4RyNOM https://t.co/R3WOms5ZSp",SUNtravelgal,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
28,2020-03-30 23:26:39+00:00,1244768029403160581,https://twitter.com/ggukschae/status/1244768029403160581,@ughpjm__ @minniejinnieee @Shahdbts10 I’m from Canada I would like ly: answer thank you 💕,ggukschae,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1
29,2020-03-30 23:25:34+00:00,1244767755796176900,https://twitter.com/lindaGNbroer/status/1244767755796176900,"@Yamiche I watched your questioning the other day I'm from Canada I'm not a Trump fan but he was right to say that to you, no place for those questions right now. Work with him right now not against him.",lindaGNbroer,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
30,2020-03-30 23:24:54+00:00,1244767588284018688,https://twitter.com/johnndavis/status/1244767588284018688,"20200330: Bloomberg : Trump to Harry and Meghan: Pay for your own security in Los Angeles [""They reportedly flew by private jet from Canada to Los Angeles before the border between the two countries closed""",johnndavis,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
31,2020-03-30 23:23:29+00:00,1244767233529839617,https://twitter.com/crauings/status/1244767233529839617,if you’re from Canada and have ordered from SHEIN - how much were the duties and how long did it take to come in?,crauings,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
32,2020-03-30 23:22:02+00:00,1244766867970871297,https://twitter.com/Paddy7x7/status/1244766867970871297,"@cov_Gretchen Cheers America 🍻, from Canada.
Our leaders couldn't be farther apart, count your blessings.",Paddy7x7,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
33,2020-03-30 23:21:04+00:00,1244766624386875392,https://twitter.com/BOPBOP56/status/1244766624386875392,@SenTedCruz @GovAbbott Since you traveled from Canada Phony Ted how about you go into permanent quarantine?,BOPBOP56,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
34,2020-03-30 23:20:52+00:00,1244766573501517827,https://twitter.com/robklamont/status/1244766573501517827,"@IcyPorzingis Philly Fan from Canada, Grandma bought me a towel while vacationing in Tampa Bay in ‘93, randomly picked Eagles from the beach store.  When I got home and played QB Challenge on Sega with Philly &amp; R. Cunningham i was dominate! Love them ever since.",robklamont,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1
35,2020-03-30 23:16:45+00:00,1244765538292768768,https://twitter.com/char_lawyer/status/1244765538292768768,The man &amp; I started talking. He wanted me to get off train with him at his stop so I could meet his wife. He claimed that his wife was a judge. He called his wife &amp; told her I was an Indigenous lawyer from Canada. I watched him talk to his wife. I thought he was a serial killer.,char_lawyer,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1
36,2020-03-30 23:14:29+00:00,1244764966525317124,https://twitter.com/brettbrooking/status/1244764966525317124,"@markdesjardins @jackiekashian Nope. No Cash App, no Venmo, no Zelle from Canada.",brettbrooking,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2
37,2020-03-30 23:13:05+00:00,1244764616799985664,https://twitter.com/randal_65/status/1244764616799985664,@WR_Record Maybe they will think about kids from Canada now.   Don’t have a problem with foreign students but our local post secondary institutions have turned it into a bit of a business at the cost of people who pay taxes here.,randal_65,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1
38,2020-03-30 23:12:25+00:00,1244764448033853447,https://twitter.com/Jhonny169101782/status/1244764448033853447,"@ms_moody_notes kya krein. work has doubled since this human malware.  life is getting hectic by idling and doing nothing. working from home realizing had ti setuo my office now at home. 
anyways. hope u r doing great be awsm as always.
Love.from Canada. cheers.",Jhonny169101782,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
39,2020-03-30 23:12:16+00:00,1244764408535973889,https://twitter.com/JessesLaw/status/1244764408535973889,Joyful sounds from Canada.,JessesLaw,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
